,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue id,Venue Latitude,Venue Longitude,Venue Category id
35,"Regent Park, Harbourfront",43.6542599,-79.3606359,4b8c46f3f964a5200cc832e3,43.65275554626444,-79.36475283805089,4bf58dd8d48988d137941735
36,"Regent Park, Harbourfront",43.6542599,-79.3606359,4bb52a8bf562ef3b7d992e97,43.65078003430492,-79.35761534068922,4bf58dd8d48988d137941735
37,"Regent Park, Harbourfront",43.6542599,-79.3606359,5b7ccd5e1f8ed6002c9bd7d0,43.65363394725125,-79.35466212072043,4bf58dd8d48988d11b941735
38,"Regent Park, Harbourfront",43.6542599,-79.3606359,4ade8ea8f964a5205a7621e3,43.65512324174501,-79.36587330410705,4bf58dd8d48988d171941735
39,"Regent Park, Harbourfront",43.6542599,-79.3606359,50e88fc6e4b007fcbb57aae8,43.6499697935016,-79.36015326451906,4bf58dd8d48988d142941735
40,"Regent Park, Harbourfront",43.6542599,-79.3606359,51828372e4b0ea1bac906b00,43.64989585773889,-79.3594359503061,4bf58dd8d48988d107951735
41,"Regent Park, Harbourfront",43.6542599,-79.3606359,4f776828e4b040208c312fc5,43.65010164153305,-79.3604404498866,4bf58dd8d48988d1c9941735
42,"Regent Park, Harbourfront",43.6542599,-79.3606359,4ad8d551f964a5201f1521e3,43.65704640025721,-79.35966695607046,4bf58dd8d48988d122951735
43,"Regent Park, Harbourfront",43.6542599,-79.3606359,4af21e78f964a520fae521e3,43.650022181882065,-79.36122168476822,4bf58dd8d48988d1e2931735
44,"Regent Park, Harbourfront",43.6542599,-79.3606359,59d00b871ffe9715e465071c,43.649892147380996,-79.3610051085219,4bf58dd8d48988d10c951735
45,"Regent Park, Harbourfront",43.6542599,-79.3606359,4d126fd3d1848cfad5cfbb71,43.652779762702764,-79.3563362625656,4bf58dd8d48988d10a951735
46,"Regent Park, Harbourfront",43.6542599,-79.3606359,4b8acdfdf964a520378232e3,43.657773,-79.3574632,5370f356bcbc57f1066c94c2
47,"Regent Park, Harbourfront",43.6542599,-79.3606359,4b2cf78cf964a52077cb24e3,43.656820970004496,-79.3589698353747,4bf58dd8d48988d1e0931735
48,"Regent Park, Harbourfront",43.6542599,-79.3606359,593b5fbea35dce738ebbb4ec,43.65304,-79.35704,4bf58dd8d48988d1fa931735
49,"Regent Park, Harbourfront",43.6542599,-79.3606359,5292543a498ec4d4c99c0c64,43.656264585886454,-79.35711882680904,50aa9e744b90af0d42d5de0e
50,"Regent Park, Harbourfront",43.6542599,-79.3606359,579cc5f2498e0fe8397deebb,43.650495,-79.357538,4bf58dd8d48988d116951735
51,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,4b16e8b6f964a52051bf23e3,43.71821373389962,-79.46389305304558,4bf58dd8d48988d104951735
52,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,4b12e300f964a520299023e3,43.71909636823933,-79.46267482419971,4bf58dd8d48988d1f8941735
53,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,4ccc5aebee23a14370591ea8,43.72125878799614,-79.46847226859448,4bf58dd8d48988d14a941735
54,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,4fa4ae40e4b02443361f27c4,43.7194274,-79.4679949,4bf58dd8d48988d1e0931735
55,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,4bf5b47594b2a593c623acee,43.719045296434736,-79.46084915034818,4bf58dd8d48988d103951735
56,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,4e418f4f1f6e4d7545b7c976,43.718892366644944,-79.46134358371631,4bf58dd8d48988d102951735
57,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,4ae8b081f964a5207cb121e3,43.71784220022086,-79.46223069665501,4bf58dd8d48988d171941735
58,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,5a2b0a38947c0509784b0e85,43.71894162758098,-79.46388005195001,4bf58dd8d48988d102951735
59,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,4baf6adff964a52035fe3be3,43.717997,-79.46672,4bf58dd8d48988d103951735
60,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,4b743867f964a520eccd2de3,43.718053735782526,-79.46320043192486,4bf58dd8d48988d103951735
61,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,4c68507873851b8de24fba39,43.718846,-79.465906,4bf58dd8d48988d103951735
62,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,4c3b9356def90f47a72cfe2d,43.71889855313541,-79.46469467303574,4bf58dd8d48988d103951735
63,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,4dfa9b5452b145696e344b7c,43.71787829,-79.46724603,4bf58dd8d48988d108951735
64,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,4bae442ff964a520b69a3be3,43.71941805471303,-79.459316806156,4bf58dd8d48988d1ff941735
65,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,4cea93789f776ea841926922,43.716672,-79.467415,52f2ab2ebcbc57f1066b8b2a
66,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,509ed555e4b00baa8ce178a3,43.71677614916025,-79.46167716204125,4f4528bc4b90abdf24c9de85
67,"Lawrence Manor, Lawrence Heights",43.718517999999996,-79.46476329999999,4bf844265317a5930b82ff7e,43.71926903,-79.460276,4bf58dd8d48988d103951735
68,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4b9d206bf964a520e69136e3,43.66394609897775,-79.39217952520835,4bf58dd8d48988d163941735
69,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4a8355bff964a520d3fa1fe3,43.660390911898546,-79.38766421192705,4bf58dd8d48988d110941735
70,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,5db70a0c306d6b000861ac9f,43.66014,-79.38587,4bf58dd8d48988d1e0931735
71,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,568bcf61498e3aaff5e351f8,43.66076299149323,-79.38618409033066,4bf58dd8d48988d1e0931735
72,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4ad8d773f964a5203e1521e3,43.663083310067655,-79.38502493214878,52e81612bcbc57f1066b7a37
73,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,594ff53c2be42528bcc1bdb7,43.663452,-79.384125,52e81612bcbc57f1066b79f2
74,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,576d30ed498ef2e95e26e6d0,43.65945605353152,-79.39041123272168,4bf58dd8d48988d1e0931735
75,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4afca145f964a5208e2422e3,43.665885330936845,-79.38697684868161,4bf58dd8d48988d1d2941735
76,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4b6b189cf964a52089f22be3,43.66283810530193,-79.38373201352064,4bf58dd8d48988d127951735
77,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4aeb5989f964a5203ec121e3,43.661499497597596,-79.38363613350754,4bf58dd8d48988d102941735
78,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4d927b8352ed224b27d008ac,43.662962178169344,-79.38395554190546,4bf58dd8d48988d153941735
79,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4e868e1bd5fb2ee2eede857c,43.662407,-79.385943,4bf58dd8d48988d1e0931735
80,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,5d9399e49b61d90008bac7b0,43.66546184849369,-79.38569158315659,56aa371ce4b08b9a8d57356c
81,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4fb593c0e4b05a76e2ab2951,43.66516,-79.384796,4bf58dd8d48988d1c1941735
82,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4b3d1e49f964a5205c8e25e3,43.663623277853254,-79.3840374323983,4bf58dd8d48988d1fb941735
83,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4b2d27b4f964a520a6cf24e3,43.66499059853204,-79.38481415727767,4bf58dd8d48988d147941735
84,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4ce47a4bc850721e2b8bc38a,43.66357134217992,-79.3946163990837,4bf58dd8d48988d137941735
85,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,59ea2931f96b2c78d41cc639,43.659167,-79.389475,4d4ae6fc7a7b7dea34424761
86,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4ae1296df964a5208c8521e3,43.661255320138636,-79.38389304122866,4bf58dd8d48988d147941735
87,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4b9a73ecf964a5209db635e3,43.65865699,-79.38868207,52f2ab2ebcbc57f1066b8b41
88,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4aeb5014f964a520c7c021e3,43.658204,-79.388998,4bf58dd8d48988d1e0931735
89,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4c87d69e13e3b1f71780d446,43.65933603842843,-79.38977326176165,4bf58dd8d48988d10a951735
90,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4e98751acc217f441ef3f429,43.65897011920262,-79.3908742539673,4bf58dd8d48988d1c5941735
91,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4bc0c71b74a9a5935fa6d0f6,43.6610382,-79.3937966,4bf58dd8d48988d1e0931735
92,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,5671be66498efccf89f7e21f,43.658927676749364,-79.38990298985978,4bf58dd8d48988d16d941735
93,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4d385c97e6bdf04d924d63b4,43.660887,-79.39372,4bf58dd8d48988d1e0931735
94,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4bc64a7ad35d9c742083e23a,43.66417202442517,-79.39488839857401,4bf58dd8d48988d176941735
95,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4b7c2a57f964a5208c812fe3,43.6594149,-79.3912214,4bf58dd8d48988d1e0931735
96,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4ad4c062f964a520f9f720e3,43.66082829233904,-79.39524545662506,4bf58dd8d48988d1af941735
97,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4cc5e76091413704e955cc55,43.65988035580764,-79.39471219966201,4bf58dd8d48988d116941735
98,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4bc867cc6501c9b6cf024029,43.658175,-79.3906813,4bf58dd8d48988d1e0931735
99,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4c0f812d98102d7f8a44e506,43.6589062,-79.3886961,4bf58dd8d48988d1e0931735
100,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4bfd97014cf820a1c0b0ecf4,43.663605383400764,-79.39515929235343,4bf58dd8d48988d1e2931735
101,"Malvern, Rouge",43.806686299999996,-79.19435340000001,4bb6b9446edc76b0d771311c,43.80744841934756,-79.19905558052072,4bf58dd8d48988d16e941735
102,Don Mills,43.745905799999996,-79.352188,4c18e819d4d9c9284e19f029,43.74766522888878,-79.34707696065234,4bf58dd8d48988d176941735
103,Don Mills,43.745905799999996,-79.352188,4b0aed06f964a520202a23e3,43.745866073988985,-79.34603533317939,4bf58dd8d48988d144941735
104,Don Mills,43.745905799999996,-79.352188,50c3ae15e4b08c3b596c6069,43.74445646349851,-79.34645978471785,4bf58dd8d48988d16d941735
105,Don Mills,43.745905799999996,-79.352188,4b639286f964a5203c842ae3,43.74573681959921,-79.34599119916211,4bf58dd8d48988d111941735
106,Don Mills,43.745905799999996,-79.352188,57e7d6bd498e0d78f21a4169,43.748789728,-79.35422793,4f4528bc4b90abdf24c9de85
107,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,4b5a3842f964a52023b528e3,43.705782646822,-79.31291304477831,4bf58dd8d48988d155941735
108,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,4b7aa47ef964a520fa342fe3,43.710654,-79.309279,4bf58dd8d48988d175941735
