,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue id,Venue Latitude,Venue Longitude,Venue Category id,Venue Category_id,price
81,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4aeb5014f964a520c7c021e3,43.658204,-79.388998,4bf58dd8d48988d1e0931735,Food,1
83,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4e98751acc217f441ef3f429,43.65897011920262,-79.3908742539673,4bf58dd8d48988d1c5941735,Food,1
84,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4bc0c71b74a9a5935fa6d0f6,43.6610382,-79.3937966,4bf58dd8d48988d1e0931735,Food,1
85,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,5671be66498efccf89f7e21f,43.658927676749364,-79.38990298985978,4bf58dd8d48988d16d941735,Food,1
86,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4d385c97e6bdf04d924d63b4,43.660887,-79.39372,4bf58dd8d48988d1e0931735,Food,1
88,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4b7c2a57f964a5208c812fe3,43.6594149,-79.3912214,4bf58dd8d48988d1e0931735,Food,1
91,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4bc867cc6501c9b6cf024029,43.658175,-79.3906813,4bf58dd8d48988d1e0931735,Food,1
92,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,4c0f812d98102d7f8a44e506,43.6589062,-79.3886961,4bf58dd8d48988d1e0931735,Food,1
94,"Queen's Park, Ontario Provincial Government",43.6623015,-79.3894938,540e1fa1498e9b339bc79212,43.66209577172247,-79.39415302454405,4bf58dd8d48988d1d3941735,Food,2
97,"Malvern, Rouge",43.806686299999996,-79.19435340000001,4bb6b9446edc76b0d771311c,43.80744841934756,-79.19905558052072,4bf58dd8d48988d16e941735,Food,1
99,Don Mills,43.745905799999996,-79.352188,4b0aed06f964a520202a23e3,43.745866073988985,-79.34603533317939,4bf58dd8d48988d144941735,Food,2
100,Don Mills,43.745905799999996,-79.352188,50c3ae15e4b08c3b596c6069,43.74445646349851,-79.34645978471785,4bf58dd8d48988d16d941735,Food,1
101,Don Mills,43.745905799999996,-79.352188,4b639286f964a5203c842ae3,43.74573681959921,-79.34599119916211,4bf58dd8d48988d111941735,Food,4
102,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,4b5a3842f964a52023b528e3,43.705782646822,-79.31291304477831,4bf58dd8d48988d155941735,Food,2
106,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,4c2136677e85c9286827ba21,43.70515901620182,-79.31312955571528,4bf58dd8d48988d1ca941735,Food,1
107,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,590e0fbfd8096e608dcc8fd4,43.705769,-79.311638,4bf58dd8d48988d143941735,Food,1
108,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,50b63ac8e4b03158df08777b,43.706832771917064,-79.31178314223835,4bf58dd8d48988d16d941735,Food,1
111,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,4bccc53fcc8cd13a9b8bc1cf,43.70592051370348,-79.31395663414658,4bf58dd8d48988d1ca941735,Food,1
112,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,4b7055c3f964a52086132de3,43.70813627814792,-79.3141045886623,4bf58dd8d48988d16e941735,Food,1
115,"Garden District, Ryerson",43.6571618,-79.37893709999999,5215491b11d2e36439600424,43.65697339589283,-79.38103961039258,4bf58dd8d48988d1dc931735,Food,2
116,"Garden District, Ryerson",43.6571618,-79.37893709999999,5615b6c4498e3c32c67ad78f,43.656518,-79.380015,4bf58dd8d48988d1ca941735,Food,1
118,"Garden District, Ryerson",43.6571618,-79.37893709999999,55a9bbf9498e00ffd7f4c71f,43.656265264409015,-79.37834318376771,4bf58dd8d48988d153941735,Food,1
119,"Garden District, Ryerson",43.6571618,-79.37893709999999,56d4d1b3cd1035fe77e1492c,43.65777161112601,-79.3760725691681,4bf58dd8d48988d16d941735,Food,1
123,"Garden District, Ryerson",43.6571618,-79.37893709999999,4ad4c061f964a52095f720e3,43.65760101432665,-79.38161963017174,4bf58dd8d48988d149941735,Food,2
124,"Garden District, Ryerson",43.6571618,-79.37893709999999,509e9ef6e4b0ab175389a6c5,43.65643520293576,-79.37758637997793,55a59bace4b013909087cb24,Food,2
125,"Garden District, Ryerson",43.6571618,-79.37893709999999,506a2591e4b0961239b8c825,43.65702925121356,-79.38138512728051,4bf58dd8d48988d16d941735,Food,1
126,"Garden District, Ryerson",43.6571618,-79.37893709999999,4ad7929cf964a520500c21e3,43.65564091455335,-79.37919882575557,4bf58dd8d48988d147941735,Food,2
129,"Garden District, Ryerson",43.6571618,-79.37893709999999,5064c3dde4b07c5a18986283,43.657116518476315,-79.38085267976494,4bf58dd8d48988d16c941735,Food,2
132,"Garden District, Ryerson",43.6571618,-79.37893709999999,5a55078bda5ede6ed9d73a62,43.65723,-79.38087,4bf58dd8d48988d1e0931735,Food,1
134,"Garden District, Ryerson",43.6571618,-79.37893709999999,51755dc7498ece19b7261641,43.659292,-79.381949,4bf58dd8d48988d1c5941735,Food,1
135,"Garden District, Ryerson",43.6571618,-79.37893709999999,4cd2e74d3e0c8cfa87971a12,43.658077944767534,-79.37831497990125,4bf58dd8d48988d16d941735,Food,1
136,"Garden District, Ryerson",43.6571618,-79.37893709999999,55c294b0498e7ccb190b4bea,43.65521877547618,-79.38094518163427,4bf58dd8d48988d1dc931735,Food,2
138,"Garden District, Ryerson",43.6571618,-79.37893709999999,4ab2b0b9f964a520e56b20e3,43.65747228208784,-79.38352412327917,4bf58dd8d48988d155941735,Food,2
140,"Garden District, Ryerson",43.6571618,-79.37893709999999,4b32a8bdf964a5202d1125e3,43.65775512925926,-79.38217741375935,4bf58dd8d48988d1cc941735,Food,4
141,"Garden District, Ryerson",43.6571618,-79.37893709999999,4e5d8181a8092f63968617ee,43.654536488277245,-79.38088885547485,4bf58dd8d48988d16e941735,Food,1
143,"Garden District, Ryerson",43.6571618,-79.37893709999999,4b2bd898f964a52042bc24e3,43.66059636632361,-79.37889120754515,4bf58dd8d48988d111941735,Food,2
145,"Garden District, Ryerson",43.6571618,-79.37893709999999,4adc9148f964a520512d21e3,43.65686,-79.38091,4bf58dd8d48988d1c1941735,Food,2
146,"Garden District, Ryerson",43.6571618,-79.37893709999999,5a81ae339deb7d369fa7f146,43.65883296982352,-79.38368351986598,4bf58dd8d48988d1e0931735,Food,1
147,"Garden District, Ryerson",43.6571618,-79.37893709999999,539c6f13498e06f4cc765165,43.65739749535259,-79.38376054171513,52e81612bcbc57f1066b79f9,Food,0
148,"Garden District, Ryerson",43.6571618,-79.37893709999999,4df909dfe4cd2129701c0690,43.6560936540828,-79.38187792357716,4bf58dd8d48988d157941735,Food,2
149,"Garden District, Ryerson",43.6571618,-79.37893709999999,4adf8077f964a5202d7b21e3,43.65669146835466,-79.37664313658586,4bf58dd8d48988d115941735,Food,2
154,"Garden District, Ryerson",43.6571618,-79.37893709999999,4e8363c6e5fa5681e8c00e54,43.6551351410162,-79.3808225262395,4bf58dd8d48988d16e941735,Food,1
155,"Garden District, Ryerson",43.6571618,-79.37893709999999,560b1653498e1a2dfa4af722,43.660631695006714,-79.37887964897601,55a59bace4b013909087cb24,Food,0
156,"Garden District, Ryerson",43.6571618,-79.37893709999999,4fb13c20e4b011e6f93513c0,43.65785440672277,-79.37919981155157,4bf58dd8d48988d1e0931735,Food,2
157,"Garden District, Ryerson",43.6571618,-79.37893709999999,5c2151463362730039c4ef0b,43.654574,-79.38074,4bf58dd8d48988d16a941735,Food,1
158,"Garden District, Ryerson",43.6571618,-79.37893709999999,4ae3398ff964a520ed9121e3,43.656328,-79.383621,4bf58dd8d48988d1ce941735,Food,2
160,"Garden District, Ryerson",43.6571618,-79.37893709999999,52f6816f11d24a43115dc834,43.658920292028725,-79.38289105381784,4bf58dd8d48988d110941735,Food,2
161,"Garden District, Ryerson",43.6571618,-79.37893709999999,4b9e7418f964a52032e536e3,43.65602745564191,-79.38057491935326,4bf58dd8d48988d1e0931735,Food,1
165,"Garden District, Ryerson",43.6571618,-79.37893709999999,4d306dd82748b60c62b6dba0,43.65445314470199,-79.3809741075674,4bf58dd8d48988d110941735,Food,2
167,"Garden District, Ryerson",43.6571618,-79.37893709999999,4c9cd4d37c096dcb9034c5d1,43.65502870847598,-79.38024513018975,4bf58dd8d48988d115941735,Food,2
171,"Garden District, Ryerson",43.6571618,-79.37893709999999,5a62412b1108ba191da5ba06,43.65745745164475,-79.38419169987876,4bf58dd8d48988d111941735,Food,2
